"id_empleado","nombre","apellido","puesto","salario","id_sucursal","fecha_contratacion"
"1","Mireia","Morera","Asistente de recursos humanos","2557.02","1","2019-07-16"
"2","Adelina","Alcaraz","Encargado de almacén","1808.69","1","2020-09-15"
"3","Elisa","Domínguez","Auxiliar de Servicios Part-Time","522.00","1","2015-11-08"
"4","Obdulia","Alvarez","Encargado de almacén","2338.95","1","2021-01-11"
"5","Heriberto","Benavides","Reponedor","1571.43","1","2021-07-09"
"6","Paca","Heredia","Asistente de recursos humanos","2169.17","1","2017-07-28"
"7","Vidal","Llorente","Cajero","1251.29","1","2020-04-05"
"8","Bartolomé","Crespo","Encargado de cajas","2439.01","1","2020-04-25"
"9","Ramiro","Canals","Reponedor","1337.09","1","2021-03-22"
"10","Manuela","Paniagua","Encargado de almacén","2090.07","1","2021-09-08"
"11","Nicanor","Miranda","Cajero","1391.68","1","2017-08-10"
"12","Judith","Ureña","Encargado de cajas","1913.60","1","2019-11-07"
"13","Gerardo","Céspedes","Cajero","1227.10","1","2021-01-22"
"14","Cirino","Gisbert","Auxiliar de Servicios","1205.38","1","2019-06-29"
"15","Rosa","Arnau","Reponedor","1629.40","1","2018-03-25"
"16","Emiliano","Godoy","Cajero Part-Time","522.00","1","2016-09-11"
"17","César","Rodrigo","Encargado de almacén","1942.71","1","2021-01-29"
"18","Chita","Tamarit","Auxiliar de Servicios","1401.80","1","2016-04-22"
"19","Tadeo","Amat","Reponedor","1792.57","1","2017-11-13"
"20","Raúl","Gonzalez","Encargado de cajas","1965.17","1","2018-04-09"
"21","Merche","Maza","Encargado de cajas","2314.77","1","2017-01-27"
"22","Amancio","Vives","Encargado de almacén","2293.83","1","2022-05-22"
"23","Sabas","Neira","Cajero","1298.01","1","2022-10-10"
"24","Cayetano","Jaén","Encargado de almacén","1947.80","1","2023-06-17"
"25","Ignacio","Quevedo","Reponedor","1406.34","1","2024-12-05"
"26","Mireia","Medina","Auxiliar de Servicios","1799.21","1","2016-04-14"
"27","Manuela","Roura","Asistente de recursos humanos","2357.03","1","2024-02-18"
"28","María","Velázquez","Auxiliar de Servicios Part-Time","522.00","1","2021-09-23"
"29","Lucas","Querol","Reponedor","1529.28","1","2022-01-13"
"30","Pascual","Pedrero","Auxiliar de Servicios","1730.87","1","2021-11-14"
"31","Marco","Mur","Encargado de almacén","2338.95","1","2019-01-08"
"32","Roberta","Niño","Asistente de recursos humanos","2688.75","1","2018-10-14"
"33","Marta","Cabrero","Auxiliar de Servicios Part-Time","522.00","1","2017-06-24"
"34","José","Cabello","Auxiliar de Servicios Part-Time","522.00","1","2023-07-23"
"35","Leandro","Seguí","Reponedor","1369.06","1","2023-01-18"
"36","Elodia","Rey","Cajero Part-Time","522.00","1","2022-06-08"
"37","Mariana","Aroca","Cajero Part-Time","522.00","1","2024-04-22"
"38","Loreto","Prats","Auxiliar de Servicios","1694.24","1","2016-10-24"
"39","Nerea","Aragonés","Cajero Part-Time","522.00","1","2024-05-17"
"40","Valero","Gimeno","Reponedor","1655.46","1","2016-05-28"
"41","Tomás","Seco","Encargado de cajas","2175.60","1","2023-08-09"
"42","Nazario","Piñeiro","Auxiliar de Servicios Part-Time","522.00","1","2016-12-08"
"43","Armando","Mayoral","Asistente de recursos humanos","2565.82","1","2021-09-16"
"44","Diego","Cruz","Encargado de almacén","2018.31","1","2022-05-15"
"45","Belén","Suarez","Encargado de cajas","2022.20","1","2020-09-16"
"46","Arturo","Verdugo","Cajero","1653.71","1","2016-03-04"
"47","Plinio","Alfonso","Auxiliar de Servicios","1401.09","1","2020-02-18"
"48","Alejo","Ferrán","Reponedor","1426.97","1","2018-01-04"
"49","Eloísa","Cobo","Encargado de almacén","2489.65","1","2019-08-11"
"50","Anacleto","Marin","Encargado de almacén","2386.73","1","2015-09-11"
"51","Goyo","Larrea","Auxiliar de Servicios Part-Time","522.00","1","2023-08-25"
"52","José Ángel","Rosell","Encargado de cajas","2392.32","1","2020-01-24"
"53","Gervasio","Delgado","Encargado de almacén","1873.08","1","2019-02-17"
"54","Emiliano","Menendez","Encargado de almacén","2193.78","1","2018-03-14"
"55","Ema","Robles","Asistente de recursos humanos","2843.47","1","2020-12-12"
"56","Alberto","Galvez","Reponedor","1319.43","1","2021-03-26"
"57","Elisabet","Fuertes","Encargado de almacén","2083.42","1","2015-10-19"
"58","Paz","Merino","Cajero","1695.89","1","2017-05-21"
"59","Julie","Osuna","Auxiliar de Servicios Part-Time","522.00","1","2019-07-04"
"60","Carmela","Mendizábal","Reponedor","1222.01","1","2023-03-27"
"61","Nilda","Sarmiento","Cajero Part-Time","522.00","1","2018-03-03"
"62","Óscar","Figuerola","Encargado de cajas","2380.55","1","2018-04-08"
"63","Eugenio","Pacheco","Encargado de almacén","2295.61","1","2015-07-23"
"64","Concepción","Barrios","Auxiliar de Servicios","1525.95","1","2023-04-19"
"65","Trinidad","Bosch","Reponedor Part-Time","522.00","1","2023-12-27"
"66","Olga","Azorin","Encargado de cajas","2263.23","1","2016-01-03"
"67","Leire","Nicolás","Cajero Part-Time","522.00","1","2024-05-21"
"68","Sandra","Crespo","Encargado de cajas","2119.27","1","2020-09-15"
"69","Judith","Segovia","Cajero Part-Time","522.00","1","2023-06-18"
"70","Pilar","Niño","Cajero","1386.60","1","2021-08-29"
"71","Fortunato","Hervás","Cajero","1266.81","1","2023-01-27"
"72","Nilda","Llamas","Asistente de recursos humanos","2512.52","1","2021-03-11"
"73","Candelario","Balaguer","Reponedor Part-Time","522.00","1","2023-03-16"
"74","Esther","Bravo","Asistente de recursos humanos","2545.92","1","2018-10-22"
"75","Reinaldo","Ballester","Encargado de almacén","2292.05","1","2021-02-15"
"76","Tatiana","Sala","Auxiliar de Servicios","1270.66","1","2020-08-20"
"77","Leonardo","Arteaga","Auxiliar de Servicios","1724.72","1","2019-08-01"
"78","Alma","Trillo","Encargado de cajas","2446.31","1","2023-04-27"
"79","Adrián","Córdoba","Encargado de almacén","2346.07","1","2016-10-22"
"80","Anselmo","Cabañas","Encargado de almacén","2292.58","1","2015-06-13"
"81","Trinidad","Beltran","Auxiliar de Servicios","1758.14","1","2019-09-03"
"82","Esther","Hervia","Cajero","1713.92","1","2024-09-02"
"83","Román","Guerra","Cajero","1572.72","1","2020-04-29"
"84","Candelario","Zurita","Auxiliar de Servicios","1250.38","1","2019-08-05"
"85","Josefina","Reig","Supervisor de tienda","2518.47","1","2017-10-31"
"86","Cristian","Donoso","Reponedor","1629.01","1","2015-04-28"
"87","Mónica","Sacristán","Reponedor","1705.96","1","2022-01-28"
"88","Marciano","Alegre","Auxiliar de Servicios Part-Time","522.00","1","2021-08-30"
"89","Roque","Salvador","Auxiliar de Servicios Part-Time","522.00","1","2015-11-16"
"90","Ricarda","Torrents","Reponedor","1562.86","1","2024-01-28"
"91","Anselmo","Palomares","Reponedor Part-Time","522.00","1","2019-03-14"
"92","Flavia","Valbuena","Cajero","1718.15","1","2023-07-26"
"93","Lucila","Pedrosa","Asistente de recursos humanos","2742.72","1","2017-08-28"
